movement_id,item_id,item_name,sku,movement_datetime,from_location_id,from_location_name,to_location_id,to_location_name,quantity_moved,unit_of_measure,trigger_type,trigger_details,performed_by,inventory_level_before,inventory_level_after,movement_notes
MV0001,IT1001,UltraSoft Bath Towels,TWL-ULTRA-001,2024-01-05T09:12:45,LOC-001-W,Central Warehouse,LOC-002-B,Retail Store Downtown,1200,pieces,restock,Restock request for Q1 sales,emp_1001,8000,3200,Bulk restock ahead of winter sale
MV0002,IT1002,Premium Liquid Soap,SOAP-PRM-002,2024-01-07T11:23:58,LOC-001-W,Central Warehouse,LOC-003-O,Outlet Store West,1800,bottles,restock,Restock request - West outlet,emp_1002,7000,2800,Inventory replenishment for new promotions
MV0003,IT1003,Ceramic Flower Vase,VAS-CERAM-003,2024-01-10T14:19:21,LOC-002-B,Retail Store Downtown,LOC-007-RP,Returns Processing,1,vase,loss,Damaged item returned,emp_1003,10,0,Breakage reported by staff
MV0004,IT1004,Organic Coffee Beans,COF-ORG-004,2024-01-12T13:03:44,LOC-001-W,Central Warehouse,LOC-004-P,Partner Store East,900,packs,transfer,Regional transfer,emp_1004,4000,900,Transfer for regional balance
MV0005,IT1005,Stainless Steel Water Bottle,BOT-SS-005,2024-01-15T16:37:20,LOC-003-O,Outlet Store West,LOC-007-RP,Returns Processing,1,bottle,loss,Customer return - damaged,emp_1005,5,0,Returned due to lid breakage
MV0006,IT1006,Luxury Hand Cream,CRM-LUX-006,2024-01-19T08:45:32,LOC-001-W,Central Warehouse,LOC-005-R,Retail Store Riverside,500,jars,order_fulfillment,Order #ORD-2024-015,emp_1006,2500,500,Fulfillment for Riverside store
MV0007,IT1007,Classic Scented Candle,CND-CLSC-007,2024-01-20T12:41:55,LOC-005-R,Retail Store Riverside,LOC-007-RP,Returns Processing,1,can,loss,Damaged during transit,emp_1007,4,0,Candle melted in shipment
MV0008,IT1008,Refillable Soap Dispenser,DISP-RFL-008,2024-01-21T09:29:36,LOC-001-W,Central Warehouse,LOC-002-B,Retail Store Downtown,110,units,restock,Restock request for new product line,emp_1008,1000,210,Dispenser restock for spring
MV0009,IT1009,Holiday Gift Basket,GBSKT-HOL-009,2024-01-22T17:13:11,LOC-004-P,Partner Store East,LOC-005-R,Retail Store Riverside,30,packs,transfer,Special event transfer,emp_1009,210,60,Holiday basket promotion
MV0010,IT1010,Eco-Friendly Tote Bag,,2024-01-23T10:22:58,LOC-002-B,Retail Store Downtown,LOC-003-O,Outlet Store West,10,pieces,transfer,Inventory shuffle,emp_1010,50,30,SKU not assigned; tote bag shuffle
